ParkID,State,City,Park Name,First,Last
STC02,Ontario,St. Catherines,Sports Park,1948,1948
TOR01,Ontario,Toronto,Exhibition Stadium,1977,1989
TOR02,Ontario,Toronto,Rogers Centre,1989,2024
,,,,,
MON01,Quebec,Montreal,Parc Jarry,1969,1976
MON02,Quebec,Montreal,Stade Olympique,1977,2004
,,,,,
REG01,Saskatchewan,Regina,Park de Young,1938,1939
,,,,,
LON01,England,London,London Stadium,2019,2024
,,,,,
TOK01,Japan,Tokyo,Tokyo Dome,2000,2019
,,,,,
MEX01,Mexico,Mexico City,(unknown),1935,1935
MEX02,Mexico,Mexico City,Alfredo Harp Helu,2023,2024
MNT01,Mexico,Monterrey,Estadio Monterrey,1996,2019
,,,,,
SEO01,South Korea,Seoul,Gocheok Sky Dome,2024,2024
